created_at,tweet_id,tweet,likes,retweet_count,source,user_id,user_name,user_screen_name,user_description,user_join_date,user_followers_count,user_location,lat,long,city,country,continent,state,state_code,collected_at,,supporting
10/23/2020 13:13,1.32E+18,"Why did #Trump's say to his followers at a rally that ""Bad things happen in #Philadelphia""? To scare? Or to orchestrate? The local #Philly DA is worried armed militias may come to the polls. His public message to them: ""We've got a jail for you!""  https://t.co/0SHKgwXfKP",16,6,Twitter for Android,45413198,Bob Krause,KrauseForIowa,"Veteran Activist & Observer. frmr Carter Admin, frmr Senate candidate for Iowa. Prez at Veterans National Recovery Center.   RT is not   agreement.",6/7/2009 20:12,37757,Iowa,41.9216734,-93.3122705,,United States of America,North America,Iowa,IA,47:44.1,,joe_biden
10/23/2020 14:23,1.32E+18,"This is exactly what this election about: decency, character, empathy, truth, values, and leadership. The difference in the closing comments by each are clearly defining.
#CharacterMatters #DonaldTrump #TrumpLies #Trump 

October 22, 2020 https://t.co/KtqPuwZAGi",0,0,Twitter for iPad,309601487,Rick Werth,rickwerth,"Husband, father, grandfather and a work-in-progress to follow God's will for me everyday. RV traveler and volunteer. Retired protector of people and corporation",6/2/2011 10:53,112,"Des Moines, IA",41.5910323,-93.6046655,Des Moines,United States of America,North America,Iowa,IA,35:45.9,,joe_biden
10/23/2020 14:46,1.32E+18,"the president and VP’s kids are NOT running for president, so asking them questions about their kids affairs and lives is dumb and pointless. waste of time IMO during the debate last night. #Debates2020 #debates #JoeBiden #DonaldTrump #PresidentialDebate2020",1,0,Twitter for iPhone,1682060732,Sara Neubert,NeubertSara,🖤💗#BlackLivesMatter 🏳️‍🌈,8/19/2013 1:31,521,Iowa,41.9216734,-93.3122705,,United States of America,North America,Iowa,IA,35:44.3,,joe_biden
10/23/2020 14:48,1.32E+18,who built the cages? #Debates2020 #debates #JoeBiden #DonaldTrump #PresidentialDebate2020 #PresidentialElection2020 #PresidentTrump #vicepresident,0,0,Twitter for iPhone,1682060732,Sara Neubert,NeubertSara,🖤💗#BlackLivesMatter 🏳️‍🌈,8/19/2013 1:31,521,Iowa,41.9216734,-93.3122705,,United States of America,North America,Iowa,IA,35:44.7,,joe_biden
10/23/2020 14:51,1.32E+18,"President Donald Trump being such close friends with Kim Jong Un and Putin reminds me a lot of the past power three... Stalin, Mussolini, Hitler? think about it. #PresidentialDebate2020 #Debates2020 #debates #DonaldTrump #JoeBiden",0,0,Twitter for iPhone,1682060732,Sara Neubert,NeubertSara,🖤💗#BlackLivesMatter 🏳️‍🌈,8/19/2013 1:31,521,Iowa,41.9216734,-93.3122705,,United States of America,North America,Iowa,IA,35:44.5,,joe_biden
10/23/2020 14:53,1.32E+18,"If the only thing u have against #Trump is the pandemic, that means he’s done a superb job as president. 
That’s obviously not true but the message the #democrats are conveying.
Well, still better than claiming he was elected cause Putin refused to vote 4 Hillary in swing states",0,0,Twitter for Mac,137301522,A.,MrLiberties,My TL says it all.,4/26/2010 11:27,440,Here or over the Atlantic ...,41.4036007,-95.0138776,,United States of America,North America,Iowa,IA,47:21.0,,joe_biden
10/23/2020 14:53,1.32E+18,"after last nights debate, who are you voting for on November 3rd? #JoeBiden #DonaldTrump #PresidentialDebate2020 #Debates2020 #debates #PresidentialElection2020",0,0,Twitter for iPhone,1682060732,Sara Neubert,NeubertSara,🖤💗#BlackLivesMatter 🏳️‍🌈,8/19/2013 1:31,521,Iowa,41.9216734,-93.3122705,,United States of America,North America,Iowa,IA,35:44.6,,joe_biden
10/23/2020 14:55,1.32E+18,"The main reason I #Voted for #BidenHarris2020 is empathy.  Its about the ability to admit when your wrong, apologize and learn.  #Trump has never once apologized for anything, instead of saying he was wrong he lies more.",0,0,Twitter for Android,91208954,Derek Dowd,Derka427,"Baseball and Gardening FANATIC!                         I love the #MARINERS do or die!   I'm an insane fan and this is my way to Celebrate and Vent, if u don't",11/19/2009 22:29,72,"Burlington, WA.",40.8075391,-91.1129234,,United States of America,North America,Iowa,IA,47:19.6,,joe_biden
10/23/2020 15:10,1.32E+18,#trump is not #ProLife https://t.co/VjYVGW0Mqs,1,0,Twitter for iPhone,1.28E+18,Themis1988 ⚖️🇺🇸 BidenHarris,DevonMLewis,"Mom, traveler, volunteer, retired ALJ, happily single",6/23/2020 14:46,200,"Iowa, USA",41.9216734,-93.3122705,,United States of America,North America,Iowa,IA,47:14.8,,joe_biden
10/23/2020 15:16,1.32E+18,Biden CRUSHED Tonight's Debate https://t.co/mwLrsOuYWF via @YouTube #Biden #Trump #PresidentialDebate #oilindustry #FossilFuels #ClimateChange #renewableenergy #renewables #Lobbyists #OilLobbyists #Republicans #JoeBiden #economy #stimulus #COVID19 #lockdown #FascistTrump,1,1,Twitter Web App,126313550,Neptune78,OhmsLaw78,"#JoeBidenForPresident2020 #JoeBiden #JoeBidenKamalaHarris2020 #FoxNews mostly = #FakeNews Bored with life :-\, AvPD",3/25/2010 13:12,1023,"Iowa, USA",41.9216734,-93.3122705,,United States of America,North America,Iowa,IA,47:13.9,,joe_biden
